Carregar Imagem,Escolha uma escala,Selecione uma cor,output,timestamp
,0,RGB,.gradio/flagged/output/6f3b5c4d428751795027/image.webp,2025-04-17 16:06:26.745834
,0,RGB,.gradio/flagged/output/8cf961340ea89904c002/image.webp,2025-04-17 16:06:52.290833
